id	npc_id	npc_level	affiliated_area_id	loc_x	loc_y	loc_z	raid_desc
1	29001	40	30	-21610.00000000	181594.00000000	-5734.00000000	a,
2	29006	50	1	17726.00000000	108915.00000000	-6480.00000000	a,
3	29014	50	67	55024.00000000	17368.00000000	-5412.00000000	a,
4	29066	79	16	185708.00000000	114298.00000000	-8221.00000000	a,
5	29067	79	16	185708.00000000	114298.00000000	-8221.00000000	a,
6	29068	79	16	185708.00000000	114298.00000000	-8221.00000000	a,
7	29020	75	97	114830.00000000	16247.00000000	10080.00000000	a,
8	29022	60	16	55312.00000000	219168.00000000	-3223.00000000	a,
9	29028	85	180	213896.00000000	-115436.00000000	-1644.00000000	a,
10	29047	80	180	174238.00000000	-89792.00000000	-5002.00000000	a,
11	25001	23	30	-54416.00000000	146480.00000000	-2887.00000000	u,在亞丁- 格勒西亞戰爭時揚名的鼠人傭兵團勇士。現在是滯留於亞丁王國的殘存者 - 格勒西亞鼠人傭兵團的指揮官。帶領著留在古魯丁的手下們，期待能回到故鄉。\0
12	25004	30	30	-94208.00000000	100240.00000000	-3520.00000000	u,粗暴、瘋狂，彷彿不顧性命的土瑞克部族傭兵隊指揮官。雖說是傭兵隊，但他們總是站在與精靈和黑暗精靈敵對的一方。\0
13	25007	42	97	124240.00000000	75376.00000000	-2800.00000000	u,在巴列斯被封印之前，曾棲息在現今荒原地區的蜘蛛。當巴列斯被封印之後，因魔力污染荒原而使得螞蟻的勢力驟增，被迫遷徙到現在這個地方。如今為了打倒螞蟻，正默默的培養勢力等待復仇的時機。\0
14	25010	55	97	113920.00000000	52960.00000000	-3735.00000000	u,住在古魯丁南部，安特提米提藍喜愛此地的樹林及自然環境。與巴列斯戰爭使他失去了他的住處(美麗的森林及朋友)。也因那時所受到的打擊而沉溺於報仇和憎恨中，長久與人類和魔法師們為敵。\0
15	25013	50	97	169744.00000000	11920.00000000	-2732.00000000	u,為了抵抗殘忍的領主「亞席頓」的暴政，所組成的農民叛軍領袖之一。後來被亞席頓的討伐軍逮捕並遭受殘忍酷刑。為了要報復亞席頓，他與惡魔結下契約而再次復活。雖曾有崇高理想，但是因對貴族的憎恨而使他成為怪物，帶著邪惡的魔法力量。\0
16	25016	60	121	76787.00000000	245775.00000000	-10376.00000000	u,家族世代傳承保護伊娃的因納得立城主，為了守護水中庭園而製造的機械高崙。據說是由世界上手藝最好的矮人工匠所打造。是為了保護水中庭園不受水龍法利昂的勢力與入侵者威脅的守護者。本來尚有1號機和2號機，但是最後只剩下改良型的3號機。\0
17	25019	25	1	7376.00000000	169376.00000000	-3600.00000000	u,曾是保護古代精靈森林的守護者，同時也是精靈的老友「潘」。在精靈和黑暗精靈宿命的戰爭裡堅持維持中立，結果成為雙方都不歡迎的對象。其他的潘都無法承受精靈們的歧視而離開，只有柴特一人留下，期待和平的來到。\0
18	25020	34	16	90384.00000000	125568.00000000	-2128.00000000	u,具有傑出的才能且獨一無二的獸人黑魔法師。雖然曾被稱為布賴卡部族的希望，但被陰謀陷害而遭到驅逐；為了報復驅逐他的人而默默的儲備力量。他能使用從黑暗精靈那裡學來的召喚術召喚強力的使魔。\0
19	25023	34	1	27280.00000000	101744.00000000	-3696.00000000	u,群聚在克魯瑪沼澤的沼澤司塔卡拓們的殘暴女王。以不分敵我殘忍且毫不留情而聞名。只要是違背自己命令的人，不論子女或部下都會除滅。抱持著建立沼澤司塔卡拓王國的強烈野心。\0
20	25026	49	67	92976.00000000	7920.00000000	-3914.00000000	u,在艾爾摩王國的高達特領地，建造基地的強悍獸人部族「肯特拉」的先鋒隊指揮官。為了拓展勢力而被派遣到亞丁王國南部。非常憎恨人類以及賽勒諾斯一族，堅信肯特拉獸人是最優秀的種族。\0
21	25029	53	16	54941.00000000	206705.00000000	-3728.00000000	u,強力眼怪的變種。有的人說那是眼怪的最終進化型態。具有超高智能以及強烈的自尊心。雖然避開眼怪之父「亞爾古斯之眼」而逃到南方，但他抱持著繼承亞爾古斯之力的野心。他堅信吃下其他智慧生命體的腦會使自己變得更加強大。\0
22	25032	58	121	88532.00000000	245798.00000000	-10376.00000000	u,看守女神伊娃的休息地「水中庭園」的忠實守護者。雖然女神已經很久沒有回到水中庭園，但他仍然留在此地警戒，防範打擾女神休息聖地的入侵者們。\0
23	25035	70	97	180968.00000000	12035.00000000	-2720.00000000	u,死亡女神「席琳」的使者，他的任務是將地上的冤魂聚在一起，帶回席琳所在的地下世界。對席琳有著絕對的忠誠，因為想在女神的身邊服侍，所以就住在席琳封印的附近。全心等待女王復活的那一天，努力不懈執行任務。\0
24	25038	28	30	-57360.00000000	186272.00000000	-4967.00000000	u,騎士巴立恩的手下，因惡魔柯爾能的魔法得而到惡魔的肉體。他藐視把自己變成惡魔的卡勒特將軍與他以前效忠的長官巴立恩，默默的醞釀對於他們的憎恨。但他卻不知道這份憎惡，正是柯爾能的陰謀。\0
25	25041	35	1	10416.00000000	126880.00000000	-3676.00000000	u,受到惡魔拉何支配的沼澤司塔卡拓之王。直接受到拉何的精神支配，正為他訓練司塔卡拓部隊。居住在克魯瑪沼澤的司塔卡拓女王「潔魯娜」是他的勁敵。\0
