id	name	str	icon
1030001	自由傳送書	a,	icon.bookmark_book_i00
1030002	自由傳送旗	a,	BranchSys.icon.br_flag_of_bookmark_i00
1030003	自由傳送卷軸 10張/組	a,	icon.etc_pi_gift_box_i00
1030004	狩獵幫手交換券	a,	icon.etc_ticket_red_i00
1030005	高級狩獵幫手交換券	a,	icon.etc_ticket_red_i00
1030006	追加入場券-欲界(深淵之廳)	a,	icon.ticket_i00
1030007	追加入場券-欲界(深淵迷宮)	a,	icon.ticket_i00
1030008	活力維持藥水	a,	BranchSys.icon.br_vitality_potion_i00
1030009	活力充能飲料	a,	BranchSys.icon.br_vitality_potion_i01
1030010	SP古文 30% 5小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030011	羽毛古文 24小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030012	祝福的羽毛	a,	icon.blessed_feather_i00
1030013	戰士卷軸冊	a,	br_cashtex.item.br_cash_fighter_buff_set_i00
1030014	法師卷軸冊	a,	br_cashtex.item.br_cash_mage_buff_set_i00
1030015	瑪瑙獸變身卷軸	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030016	死亡之刃變身卷軸	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030017	門徒聖杯變身卷軸	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030018	獨角獸變身卷軸	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030019	莉莉恩騎士變身卷軸	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030020	高崙守護者變身卷軸	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030021	煉獄龍獸變身卷軸	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030022	暴烈龍變身卷軸	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030023	皇后貓帽 30日/組	a,	icon.etc_pi_gift_box_i00
1030024	國王貓帽 30日/組	a,	icon.etc_pi_gift_box_i00
1030025	眼怪帽 30日/組	a,	icon.etc_pi_gift_box_i01
1030026	棕熊帽 30日/組	a,	icon.etc_pi_gift_box_i01
1030027	蘑菇帽 30日/組	a,	icon.etc_pi_gift_box_i01
1030028	愛心壺精 30日/組	a,	icon.etc_pi_gift_box_i00
1030029	元寶牛壺精 7日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030030	吉利牛壺精 7日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030031	金面媽祖壺精 7日/組	u,復活\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030032	彩色稱號	a,	icon.color_name_i00
1030033	結晶型古文 3級 10小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030034	SP古文 50% 5小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030035	小天使之翼 7日/組	u,魔力再生\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030036	小妖精觸角 7日/組	u,還擊\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030037	白羽黃金假面 7日/組	u,魔力再生\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030038	爆炸頭組-金色	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030039	爆炸頭組-粉紅色	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030040	爆炸頭組	a,	icon.etc_pi_gift_box_i00
1030041	雪人變身魔杖 30日/組	a,	icon.etc_pi_gift_box_i00
1030042	蒸汽甲蟲騎乘手鐲組	a,	icon.etc_pi_gift_box_i00
1030043	淡紫鬃馬手鐲組	a,	icon.etc_pi_gift_box_i00
1030044	緞帶髮飾組	a,	icon.etc_pi_gift_box_i00
1030045	粗框眼鏡組	a,	icon.etc_pi_gift_box_i00
1030046	骷髏帽組	a,	icon.etc_pi_gift_box_i00
1030047	戰鬥貓帽組	a,	icon.etc_pi_gift_box_i00
1030048	速度激發卷軸	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
